time,SO4_sfc_diff,SO2_sfc_diff,DMS_sfc_diff,HMS_sfc_diff,SS_sfc_diff,SF_sfc_diff,NK_sfc_diff
2022-07-21 20:00:00,3.918998404723681e-12,1.1099999307178782e-10,6.3452080745227805e-12,5.903488587695143e-13,-1.3977862472890736e-14,-1.3079896010154275e-11,-1263062415.7814178
2022-07-21 21:00:00,5.171664729868214e-12,9.912949759761448e-11,1.1692996247321166e-11,5.789894045669621e-13,-1.2538495319615202e-14,-1.1725466842952389e-11,-1114045169.163025
2022-07-21 22:00:00,6.009905592126647e-12,8.942321886007425e-11,1.6539380807973985e-11,5.719868978668217e-13,-1.1630917877146686e-14,-1.1100407665318144e-11,-983630107.7722626
2022-07-21 23:00:00,6.232698077895631e-12,8.205428840963875e-11,1.9549285028478633e-11,5.678860535520433e-13,-1.0780215127388362e-14,-1.086651466098713e-11,-867086460.5833435
2022-07-22 00:00:00,6.126188431452398e-12,7.562856128261372e-11,1.9844134702087844e-11,5.444334127608821e-13,-1.0028519059891283e-14,-1.0440688897158543e-11,-760222956.1141205
2022-07-22 01:00:00,6.24127844324266e-12,7.251972509959357e-11,1.896791163191014e-11,5.244044716352383e-13,-9.810752973479198e-15,-9.941278681546361e-12,-730539653.5385742
2022-07-22 02:00:00,7.1817077806410576e-12,6.893181193645989e-11,1.7148204885952865e-11,5.028135913638277e-13,-9.583133233677696e-15,-8.575736174270778e-12,-667287211.518219
2022-07-22 03:00:00,8.923366671536187e-12,6.542241282246526e-11,1.5316134159623485e-11,4.816654312342879e-13,-9.584182842743374e-15,-6.496172991370501e-12,-530787649.5969238
2022-07-22 04:00:00,1.0710283490370758e-11,6.260983410997966e-11,1.4130826681035794e-11,4.651867562757528e-13,-9.669134881225552e-15,-4.274043434027939e-12,-454603179.68315125
2022-07-22 05:00:00,1.2325296577246617e-11,5.950078731257907e-11,1.3265397339214052e-11,4.415442676876113e-13,-9.532247688425953e-15,-1.999423062335222e-12,-436998393.7724304
2022-07-22 06:00:00,1.3633727501585077e-11,5.639257580048113e-11,1.2775867764401073e-11,4.166796602442486e-13,-9.29388399102237e-15,-3.183913743246246e-13,-422240655.4998779
2022-07-22 07:00:00,1.4342801825457783e-11,5.39932127272253e-11,1.3077594385045238e-11,3.898239234445215e-13,-9.293696553756722e-15,8.190898127027168e-13,-393971467.627121
2022-07-22 08:00:00,1.4521821444666503e-11,5.1522032179619456e-11,1.3827581069878302e-11,3.614016038150545e-13,-9.243199833850897e-15,1.5346901147967456e-12,-344121544.6044769
2022-07-22 09:00:00,1.4385282090852496e-11,4.9024347810383067e-11,1.4765031763964415e-11,3.342697149621558e-13,-9.260056848292442e-15,1.9348347436374375e-12,-304017761.8681183
2022-07-22 10:00:00,1.4082777780618576e-11,4.982001336170568e-11,1.2980760588187247e-11,3.0874160961727423e-13,-9.4706978438923e-15,2.151549009018307e-12,-267037546.7514801
2022-07-22 11:00:00,1.3825410155835314e-11,5.7555316821611273e-11,3.909645135334916e-12,2.825295542912702e-13,-9.470506038906222e-15,2.569440983963195e-12,-263980453.50642395
2022-07-22 12:00:00,1.3663579692022415e-11,5.8172615606879185e-11,1.3133400945546662e-12,2.577234336053451e-13,-9.273118735129331e-15,3.1734111164668607e-12,-284486274.25858307
2022-07-22 13:00:00,1.3510007982912664e-11,5.708353690947629e-11,8.462128887245542e-13,2.375507272992886e-13,-8.963843837378214e-15,3.6032056325374417e-12,-292023851.8646774
2022-07-22 14:00:00,1.3431471579020744e-11,5.5617355034439577e-11,7.283801749406315e-13,2.2305710034595295e-13,-8.805364593642586e-15,3.9723314202600914e-12,-291468612.78144836
2022-07-22 15:00:00,1.3420862572823024e-11,5.4163001145472704e-11,7.870094880802286e-13,2.122283293572236e-13,-8.675824937892723e-15,4.229068878732679e-12,-279153787.5595932
2022-07-22 16:00:00,1.3509765899243321e-11,5.2843639498731886e-11,9.488634465740653e-13,2.0375424856042527e-13,-8.627341858493622e-15,4.3916445141686085e-12,-252945416.26882935
2022-07-22 17:00:00,1.3605041009328729e-11,5.167812006319967e-11,1.152323253834672e-12,1.9577484716722836e-13,-8.549735531473568e-15,4.5076145643063345e-12,-227849500.92565155
2022-07-22 18:00:00,1.3742437011986028e-11,5.0432675175708594e-11,1.3035859121789479e-12,1.8702441719837363e-13,-8.523769213490545e-15,4.677466673068801e-12,-201367887.6824417
2022-07-22 19:00:00,1.3822644734428862e-11,4.972829145748637e-11,1.3814521548993186e-12,1.7648472103446905e-13,-8.531572418593739e-15,4.818463040485826e-12,-165990356.18858337
2022-07-22 20:00:00,1.386094312959529e-11,4.8594080237974654e-11,1.8753680743215948e-12,1.6546679350607468e-13,-8.49773855429755e-15,5.0032104255087515e-12,-132065351.80125427
2022-07-22 21:00:00,1.3806929237554801e-11,4.570494201828672e-11,4.000058247809034e-12,1.5521276971172053e-13,-8.494472885771041e-15,5.199300770635556e-12,-83729176.1727829
