time,20.0–26.0N,26.0–30.0N,30.0–34.2N
2022-07-29 17:00:00,7.777801395205195e-12,1.7219080656156493e-11,2.627849060638721e-11
2022-07-29 18:00:00,7.216709493546864e-12,1.684245015189664e-11,2.5467826593946753e-11
2022-07-29 19:00:00,6.749905553303629e-12,1.705940665690583e-11,2.4848677164020544e-11
2022-07-29 20:00:00,6.371312461656899e-12,1.733619169546966e-11,2.4201375076309273e-11
2022-07-29 21:00:00,5.815783545758389e-12,1.8291552534607987e-11,2.3714220950167275e-11
2022-07-29 22:00:00,5.2547737494512165e-12,2.017788089741707e-11,2.3684245769129333e-11
2022-07-29 23:00:00,4.8195973177911996e-12,2.2358287807258928e-11,2.413260714696918e-11
2022-07-30 00:00:00,4.117903789712185e-12,2.3680549977111593e-11,2.5151893070139716e-11
2022-07-30 01:00:00,3.467609307516103e-12,2.3189996333312735e-11,2.6532981340001818e-11
2022-07-30 02:00:00,3.091166297372258e-12,2.1600191842075604e-11,2.7634744754345748e-11
2022-07-30 03:00:00,2.6161086133264377e-12,1.9131216093454775e-11,2.7982966157062075e-11
2022-07-30 04:00:00,2.2167390041958372e-12,1.6391359175282367e-11,2.7774698180474624e-11
2022-07-30 05:00:00,2.0420953486504824e-12,1.3908924668963195e-11,2.758964527493757e-11
2022-07-30 06:00:00,1.921400529851006e-12,1.1181892246062794e-11,2.697658900860427e-11
2022-07-30 07:00:00,1.8355557891807986e-12,8.395940064944197e-12,2.5764758171791943e-11
2022-07-30 08:00:00,1.7735268176602433e-12,6.25497664052382e-12,2.4037551332324357e-11
2022-07-30 09:00:00,1.7100558814936995e-12,4.6303600370913e-12,2.2555459969381303e-11
2022-07-30 10:00:00,1.6580690344502593e-12,3.669623582942512e-12,2.1104189288097147e-11
2022-07-30 11:00:00,1.6320997504895998e-12,3.1478138699877466e-12,1.964970834522747e-11
2022-07-30 12:00:00,1.6365044288818605e-12,2.7988083135487e-12,1.8567952728698325e-11
