time,SO4_UT14-16km_diff,SO2_UT14-16km_diff,DMS_UT14-16km_diff,HMS_UT14-16km_diff,SS_UT14-16km_diff,SF_UT14-16km_diff,NK_UT14-16km_diff
2022-07-26 06:00:00,3.281271359194952e-12,4.960248680182201e-13,9.236781644120422e-15,1.3043395353534504e-14,-8.414020350292733e-15,3.511569069764817e-12,2435308236.3954544
2022-07-26 07:00:00,3.2956237762201518e-12,4.909606525620931e-13,1.0586520522100297e-14,1.3058547426456653e-14,-8.391243107457357e-15,3.5211403350066327e-12,2441222090.195404
2022-07-26 08:00:00,3.3083900062922472e-12,4.878535602342707e-13,1.2717108077138437e-14,1.3088657764394157e-14,-8.368090843731921e-15,3.529649031485154e-12,2443977656.276203
2022-07-26 09:00:00,3.316817698772318e-12,4.859343589361352e-13,1.5981394464844966e-14,1.3113931549587793e-14,-8.34490603916103e-15,3.5358894714252496e-12,2451549995.921173
2022-07-26 10:00:00,3.3199095144474177e-12,4.846655622274079e-13,2.048427607220797e-14,1.3119222160089842e-14,-8.323077797088186e-15,3.5371269664590707e-12,2467299154.2922096
2022-07-26 11:00:00,3.319262549211332e-12,4.837554680869614e-13,2.508527524882077e-14,1.3107671256754891e-14,-8.300902734071223e-15,3.534690325940852e-12,2491238215.200489
2022-07-26 12:00:00,3.3200838809603133e-12,4.823614242058329e-13,2.7648633368581602e-14,1.3107931177308423e-14,-8.280675358189175e-15,3.534748098829207e-12,2534705889.958374
2022-07-26 13:00:00,3.3218992287879458e-12,4.814084880427987e-13,2.941225787231795e-14,1.3117928745547588e-14,-8.262198394170018e-15,3.5359460480927467e-12,2610154372.4964447
2022-07-26 14:00:00,3.321941548005925e-12,4.816717229771275e-13,3.232063654468403e-14,1.3120050431444844e-14,-8.244719015825093e-15,3.5341406760341047e-12,2724220431.2978287
2022-07-26 15:00:00,3.3257142434912025e-12,4.832940293550867e-13,3.505375163482752e-14,1.312719431404081e-14,-8.236584457946082e-15,3.5367638757140267e-12,2895353532.8396072
2022-07-26 16:00:00,3.3316490128093555e-12,4.859938927909463e-13,3.7967193488300876e-14,1.314231864612866e-14,-8.23585894851888e-15,3.5426501428495355e-12,3111930652.513569
2022-07-26 17:00:00,3.335698240282219e-12,4.893307613638878e-13,4.2048546556773134e-14,1.3162652584052287e-14,-8.241590579640859e-15,3.5462240995256036e-12,3347166762.8086586
2022-07-26 18:00:00,3.3415609432288056e-12,4.917383032319167e-13,4.535489040547518e-14,1.3194973518287395e-14,-8.252314240316077e-15,3.5533447863378603e-12,3532982810.026062
2022-07-26 19:00:00,3.3489362094801295e-12,4.934335917830345e-13,4.807122791856667e-14,1.3231447856907071e-14,-8.263668554793256e-15,3.562906606777171e-12,3658442862.3639145
2022-07-26 20:00:00,3.35547708959258e-12,4.963080085282884e-13,4.953443700788885e-14,1.326556684562613e-14,-8.277583769209916e-15,3.570755750751331e-12,3755064414.465584
2022-07-26 21:00:00,3.3617307723761347e-12,5.016013920449683e-13,4.689181813814669e-14,1.3309481665551603e-14,-8.286375628079527e-15,3.5784584889237422e-12,3840243323.0109406
2022-07-26 22:00:00,3.368400250843617e-12,5.091054957741478e-13,4.059364964736327e-14,1.3360263371630671e-14,-8.289493471571095e-15,3.586853693784578e-12,3932992525.4679184
2022-07-26 23:00:00,3.3754370636340625e-12,5.174023578252352e-13,3.327186496036795e-14,1.3404926891418283e-14,-8.28468151214044e-15,3.5949900155430684e-12,4056649866.433689
2022-07-27 00:00:00,3.3790030546136485e-12,5.252585931991089e-13,2.8017059915372608e-14,1.3429972183896381e-14,-8.283405114179427e-15,3.600050310827257e-12,4151373400.4633293
2022-07-27 01:00:00,3.3793409620095523e-12,5.334879588315277e-13,2.4899462245198996e-14,1.3439375770799483e-14,-8.278794198452507e-15,3.6029543217330285e-12,4223565113.6426773
2022-07-27 02:00:00,3.3790125307858214e-12,5.425565173891042e-13,2.2921886517881264e-14,1.3449933764626304e-14,-8.280228049076514e-15,3.604282070592042e-12,4315864663.728561
2022-07-27 03:00:00,3.3755367235487246e-12,5.520423283284446e-13,2.2164187882925898e-14,1.3454520638645282e-14,-8.270029233012712e-15,3.6026958406596926e-12,4424324157.640976
2022-07-27 04:00:00,3.3692107367798076e-12,5.622677319802855e-13,2.2944542897530263e-14,1.3469012125514352e-14,-8.249159330611299e-15,3.597783016344739e-12,4602337160.346306
2022-07-27 05:00:00,3.362614116247994e-12,5.74024140202851e-13,2.5810454887279494e-14,1.3500678099518334e-14,-8.228688934249399e-15,3.5926081665459958e-12,4949732561.459553
2022-07-27 06:00:00,3.3543372268392608e-12,5.872638821132919e-13,3.3094173123346866e-14,1.3550131199205287e-14,-8.20016614820345e-15,3.58289015879298e-12,5523946546.937912
2022-07-27 07:00:00,3.3429032038952457e-12,6.028046223348972e-13,4.366563319833428e-14,1.3607841266959046e-14,-8.162006535536734e-15,3.5694779058846463e-12,6200433991.102303
2022-07-27 08:00:00,3.327172871867254e-12,6.267084753653499e-13,6.055159447841406e-14,1.3630930766674436e-14,-8.135647066107716e-15,3.5537376989727185e-12,6782521095.117249
2022-07-27 09:00:00,3.3062311198585628e-12,6.535497428189798e-13,8.630590612712208e-14,1.359681439289483e-14,-8.123425816837854e-15,3.5375303552333576e-12,7092407277.604027
2022-07-27 10:00:00,3.281419751153498e-12,6.786437223740624e-13,1.1788104741353388e-13,1.3543879693759218e-14,-8.108897883283409e-15,3.519308870409691e-12,7185516761.073486
2022-07-27 11:00:00,3.2549341585714863e-12,7.002126400352926e-13,1.5981453633114888e-13,1.3496073737052774e-14,-8.108106859022298e-15,3.4994611632834236e-12,7166425232.844795
2022-07-27 12:00:00,3.233250298438558e-12,7.062100848369253e-13,1.9742909021048573e-13,1.3457878132834297e-14,-8.10208515545776e-15,3.4844419624438054e-12,6984454848.422646
2022-07-27 13:00:00,3.2146248018997514e-12,6.993878034543887e-13,2.2995396291580715e-13,1.3427407892383455e-14,-8.087584496587864e-15,3.4715065380302256e-12,6731073588.258751
2022-07-27 14:00:00,3.1949787709242936e-12,6.886719748188556e-13,2.728311917404856e-13,1.3410855720391484e-14,-8.08034410408096e-15,3.4578119350330446e-12,6500800125.71637
2022-07-27 15:00:00,3.18238257702305e-12,6.704003622043882e-13,3.2672151705105323e-13,1.3435178426136692e-14,-8.091564967232292e-15,3.451771252591471e-12,6242235186.540047
2022-07-27 16:00:00,3.174388521834793e-12,6.47749983136001e-13,3.991080413735291e-13,1.3506658783162975e-14,-8.135546299118471e-15,3.449734163495841e-12,6009414367.853554
2022-07-27 17:00:00,3.1649111832508043e-12,6.29370036255242e-13,5.039578499024749e-13,1.3567239315495779e-14,-8.185628587921945e-15,3.448801622975754e-12,5829354123.092369
2022-07-27 18:00:00,3.1557258585561284e-12,6.104677119938626e-13,6.333736352655275e-13,1.3622581778729538e-14,-8.254044547834383e-15,3.445714610490117e-12,5625662910.149109
2022-07-27 19:00:00,3.1453245075638e-12,5.882332324228483e-13,7.703318417642262e-13,1.365962745965866e-14,-8.350146159131063e-15,3.4407010817008624e-12,5443314668.077011
2022-07-27 20:00:00,3.1342794981784432e-12,5.795860274344702e-13,9.030327247735729e-13,1.3688620965760715e-14,-8.45039166500105e-15,3.4355202026511805e-12,5369769878.389687
2022-07-27 21:00:00,3.122385216139856e-12,6.203377459626006e-13,9.694763918235355e-13,1.371897888420941e-14,-8.618428968436468e-15,3.429871064662083e-12,5482276475.198914
