time,SO4,SO2,DMS,HMS
2022-07-20 23:00:00,2.451633019969488e-10,2.614370490723045e-10,2.6892405046356095e-10,1.5658453192925066e-11
2022-07-21 00:00:00,2.556214805530821e-10,2.551491840754933e-10,2.72524676774885e-10,1.621402432716782e-11
2022-07-21 01:00:00,2.777797775578481e-10,2.7906398295219046e-10,2.5637730685069186e-10,1.7383350082319726e-11
2022-07-21 02:00:00,3.280239713529913e-10,3.44057462742585e-10,1.9306548987142982e-10,2.0489037401125313e-11
2022-07-21 03:00:00,3.9916107768410925e-10,3.7933952236869516e-10,1.580882220365036e-10,2.2841402458188964e-11
2022-07-21 04:00:00,4.944669584084835e-10,4.2478312424995374e-10,1.261347001707451e-10,2.5384273485296786e-11
2022-07-21 05:00:00,5.850647621775958e-10,4.5664710537265603e-10,1.1020363629426768e-10,2.634779189386216e-11
2022-07-21 06:00:00,6.831879839372518e-10,4.783539524519901e-10,9.86825714085074e-11,2.684830953305988e-11
2022-07-21 07:00:00,7.822477955392058e-10,4.982983220371252e-10,9.184312904866886e-11,2.7308591720493967e-11
2022-07-21 08:00:00,8.732627798030642e-10,5.150200159422606e-10,8.83985334795056e-11,2.7977597545184562e-11
2022-07-21 09:00:00,9.703053717311494e-10,5.334274924157861e-10,8.903370460737657e-11,2.889030078932784e-11
2022-07-21 10:00:00,1.0649004813235e-09,5.702629927452488e-10,7.504652045607032e-11,2.997159823973473e-11
2022-07-21 11:00:00,1.1389570555439029e-09,6.242511331773959e-10,4.506225675145595e-11,3.076563806426957e-11
2022-07-21 12:00:00,1.1992453283363415e-09,6.758966241138905e-10,2.6802211285098594e-11,3.1415832162265434e-11
2022-07-21 13:00:00,1.2425638874393365e-09,7.322736696963186e-10,1.715782799942717e-11,3.16157340420963e-11
2022-07-21 14:00:00,1.2681987693196069e-09,7.806864783968574e-10,1.1468733128083526e-11,3.120257530173212e-11
2022-07-21 15:00:00,1.272607419470056e-09,8.050522419493475e-10,8.595565748357285e-12,3.0406077571935325e-11
2022-07-21 16:00:00,1.2604238077868753e-09,8.087321543512462e-10,6.912410461732994e-12,2.9569870569977335e-11
2022-07-21 17:00:00,1.230139960826388e-09,7.936827536897142e-10,6.077969839274663e-12,2.8849168551132196e-11
2022-07-21 18:00:00,1.1874497053130766e-09,7.594016078358076e-10,5.5109705779975735e-12,2.8431492723102186e-11
2022-07-21 19:00:00,1.1485028469830593e-09,7.151417626809715e-10,5.267413465177418e-12,2.827381096803712e-11
2022-07-21 20:00:00,1.1101631426295436e-09,6.711537167004091e-10,6.3452080745227805e-12,2.8213800959382898e-11
2022-07-21 21:00:00,1.0756357922214557e-09,6.224678161762826e-10,1.1692996247321166e-11,2.801235939408959e-11
2022-07-21 22:00:00,1.051917569555545e-09,5.807623559906185e-10,1.6539380807973985e-11,2.7735467297791383e-11
