time,SO4,SO2,DMS,HMS
2022-07-24 14:00:00,3.917978952037554e-11,2.273946976470682e-12,1.1858970402524646e-13,1.1253026581764283e-12
2022-07-24 15:00:00,3.91836974030666e-11,2.266068826341555e-12,1.2174407771166834e-13,1.127236461133285e-12
2022-07-24 16:00:00,3.918040719889384e-11,2.2584801725240832e-12,1.2362095378800725e-13,1.1286751069174845e-12
2022-07-24 17:00:00,3.917055251491776e-11,2.2502403181964957e-12,1.2529518772145618e-13,1.1295250974860458e-12
2022-07-24 18:00:00,3.915317809180408e-11,2.240687517599495e-12,1.2582880316976115e-13,1.1299361958384573e-12
2022-07-24 19:00:00,3.9125486873847755e-11,2.2286053620434947e-12,1.2621237008205334e-13,1.1296460645933975e-12
2022-07-24 20:00:00,3.9091462521162594e-11,2.2139745402576593e-12,1.2404779825229828e-13,1.1285650235764499e-12
2022-07-24 21:00:00,3.9058217522203144e-11,2.206862615255043e-12,1.0645310744706015e-13,1.1270542479204301e-12
2022-07-24 22:00:00,3.902554180642426e-11,2.2009608583089687e-12,8.115300329996317e-14,1.124998264458757e-12
2022-07-24 23:00:00,3.899334771196717e-11,2.187447772525218e-12,5.872681535878138e-14,1.1222213125354375e-12
2022-07-25 00:00:00,3.895439513244046e-11,2.167662130827582e-12,4.3694102481173485e-14,1.1184976882375961e-12
2022-07-25 01:00:00,3.8907283682665154e-11,2.1426541600419863e-12,3.479090675417276e-14,1.1140087491915143e-12
2022-07-25 02:00:00,3.8856388778065863e-11,2.1140933841695668e-12,2.929555441881492e-14,1.1091776869892974e-12
2022-07-25 03:00:00,3.880454880244677e-11,2.088342229777816e-12,2.6390804389334915e-14,1.1032597241677258e-12
2022-07-25 04:00:00,3.8745731630306935e-11,2.0663616314477717e-12,2.516101489661265e-14,1.0965948609910944e-12
2022-07-25 05:00:00,3.8679479068777256e-11,2.0460668968816573e-12,2.481184417519756e-14,1.0900729644536519e-12
2022-07-25 06:00:00,3.8599705371901785e-11,2.0286751273808146e-12,2.514684982138118e-14,1.0830893876732229e-12
2022-07-25 07:00:00,3.851080496670917e-11,2.014355692806912e-12,2.6591051112043035e-14,1.075973330373129e-12
2022-07-25 08:00:00,3.8419661341213146e-11,2.003235150823848e-12,2.964354176203977e-14,1.0694042228710458e-12
2022-07-25 09:00:00,3.8368614252690294e-11,1.9915467019270485e-12,3.4581520994457224e-14,1.064929636339175e-12
2022-07-25 10:00:00,3.8346111161868666e-11,1.9796190607306072e-12,4.100778641017483e-14,1.0620258657842618e-12
2022-07-25 11:00:00,3.832346493936697e-11,1.968392508012852e-12,4.77712610886408e-14,1.0594097277547466e-12
2022-07-25 12:00:00,3.836610926967364e-11,1.955600521198675e-12,5.2796945383287074e-14,1.0581029134442993e-12
2022-07-25 13:00:00,3.845513374747645e-11,1.941296666355177e-12,5.642449783094561e-14,1.0575947676346567e-12
2022-07-25 14:00:00,3.854390976963881e-11,1.926203313894729e-12,5.98339087617604e-14,1.056986434833931e-12
2022-07-25 15:00:00,3.86445800081537e-11,1.913216437453289e-12,6.054634221229355e-14,1.0564184046993588e-12
2022-07-25 16:00:00,3.875702051948426e-11,1.9015235008203824e-12,5.957624680177022e-14,1.0558282533898598e-12
2022-07-25 17:00:00,3.8873202759105675e-11,1.8892860570110803e-12,5.897792734028499e-14,1.0552840379609836e-12
2022-07-25 18:00:00,3.9008580790405943e-11,1.8773674245730006e-12,5.717518576007281e-14,1.0555161538372672e-12
2022-07-25 19:00:00,3.9158046546172476e-11,1.8653254294467524e-12,5.5145890624803856e-14,1.056314715884491e-12
2022-07-25 20:00:00,3.93053144812561e-11,1.851942845086577e-12,5.323727633301349e-14,1.0571458517941576e-12
2022-07-25 21:00:00,3.946895973004043e-11,1.8391453915350388e-12,4.6861995421136786e-14,1.0575683632983218e-12
2022-07-25 22:00:00,3.964099543576435e-11,1.8247656644905827e-12,3.693898448603581e-14,1.0575831338320697e-12
2022-07-25 23:00:00,3.9797398472199624e-11,1.805640835858572e-12,2.8004637344236027e-14,1.0573982701270012e-12
2022-07-26 00:00:00,3.991937934793849e-11,1.7849091034781489e-12,2.079532868939564e-14,1.0569197647877568e-12
2022-07-26 01:00:00,4.001194568664156e-11,1.7626184937032986e-12,1.5552771345561384e-14,1.0562916105246732e-12
2022-07-26 02:00:00,4.0082262961002505e-11,1.7384705376181223e-12,1.2132348720306511e-14,1.055699426976911e-12
2022-07-26 03:00:00,4.0131260453923425e-11,1.71278468840624e-12,1.0302340133838631e-14,1.054504666277283e-12
2022-07-26 04:00:00,4.0161028521450457e-11,1.6864635302715888e-12,9.43659265668102e-15,1.0530131150308447e-12
2022-07-26 05:00:00,4.017430953488475e-11,1.660987098579554e-12,8.915106555992275e-15,1.0516929465013762e-12
2022-07-26 06:00:00,4.018835716458379e-11,1.6344158263885424e-12,9.236781644120422e-15,1.0501398755411503e-12
2022-07-26 07:00:00,4.019058770390032e-11,1.609765017655054e-12,1.0586520522100297e-14,1.048335853885443e-12
2022-07-26 08:00:00,4.0167187120545974e-11,1.5905965885576956e-12,1.2717108077138437e-14,1.0465785502551044e-12
2022-07-26 09:00:00,4.014479759176236e-11,1.5767948028609396e-12,1.5981394464844966e-14,1.0454339974740669e-12
