time,SO4_UT14-16km_diff,SO2_UT14-16km_diff,DMS_UT14-16km_diff,HMS_UT14-16km_diff,SS_UT14-16km_diff,SF_UT14-16km_diff,NK_UT14-16km_diff
2022-07-25 23:00:00,3.1936558791124855e-12,5.489724588624246e-13,2.754024841269744e-14,1.3090348222080587e-14,-8.45825048565604e-15,3.4202987691731604e-12,2392825172.5559807
2022-07-26 00:00:00,3.2045364024216625e-12,5.422215004233785e-13,2.0455714259519524e-14,1.3064831323420467e-14,-8.463764552805955e-15,3.430807910513581e-12,2369354651.949169
2022-07-26 01:00:00,3.2156902916112575e-12,5.347779972122359e-13,1.5301485522093216e-14,1.3056583249536053e-14,-8.467636372337056e-15,3.4438631208664262e-12,2368683898.6336746
2022-07-26 02:00:00,3.228012584344516e-12,5.265382408949143e-13,1.1935874569800982e-14,1.3066512924235077e-14,-8.471879939305449e-15,3.4588652714258223e-12,2377938127.903576
2022-07-26 03:00:00,3.2414532830462503e-12,5.187853698963798e-13,1.0131454386419136e-14,1.3081984465634252e-14,-8.470664377786164e-15,3.4747888524281618e-12,2390532483.8401337
2022-07-26 04:00:00,3.2553883802034134e-12,5.11281575170198e-13,9.275763140981824e-15,1.309210761908075e-14,-8.465005622648743e-15,3.490298329128603e-12,2404608557.8118095
2022-07-26 05:00:00,3.269547804039507e-12,5.04032762431901e-13,8.76169835808813e-15,1.310427424567354e-14,-8.454119737327438e-15,3.505728556641563e-12,2411371694.1408653
2022-07-26 06:00:00,3.2842778252803146e-12,4.97229502009022e-13,9.07830344742865e-15,1.311242615825957e-14,-8.434518336804885e-15,3.5192906048134952e-12,2419822871.7074966
2022-07-26 07:00:00,3.2986394797406123e-12,4.917610621443304e-13,1.0405906986845737e-14,1.3129888593965647e-14,-8.41444083805631e-15,3.5286784163029537e-12,2424685810.2032166
2022-07-26 08:00:00,3.31148178763718e-12,4.882725170514096e-13,1.2503026166900824e-14,1.316249241475393e-14,-8.393874034902412e-15,3.537062098991798e-12,2426466507.827633
2022-07-26 09:00:00,3.3201997105487792e-12,4.859426879480092e-13,1.5718057099733476e-14,1.3192208861518376e-14,-8.373599475847141e-15,3.5433087136910947e-12,2432772191.8828316
2022-07-26 10:00:00,3.323736888646665e-12,4.842610649255852e-13,2.0158889189657176e-14,1.320365407248407e-14,-8.355187399346524e-15,3.544709058293543e-12,2447007416.4997215
2022-07-26 11:00:00,3.3236796681361458e-12,4.829659809771938e-13,2.4693653305699452e-14,1.3198795028729234e-14,-8.336125397053437e-15,3.542556931046241e-12,2469357419.256592
2022-07-26 12:00:00,3.3248137162367973e-12,4.813602473220585e-13,2.72184382309033e-14,1.3202508398748273e-14,-8.318246833503752e-15,3.5427476729929806e-12,2511148522.8005447
2022-07-26 13:00:00,3.3266968530131873e-12,4.80305652243486e-13,2.89530230741628e-14,1.3213491540783245e-14,-8.301266466073752e-15,3.5439886821407313e-12,2584415990.450531
2022-07-26 14:00:00,3.326843625355603e-12,4.804550667169394e-13,3.180604256690618e-14,1.3216641803118851e-14,-8.28570719542352e-15,3.542265085343006e-12,2695484392.315037
2022-07-26 15:00:00,3.3304845789240568e-12,4.820031024398075e-13,3.4486222554103295e-14,1.3224356181703587e-14,-8.278919499497653e-15,3.544836588064535e-12,2862558596.6607285
2022-07-26 16:00:00,3.3361558652598867e-12,4.846541695023062e-13,3.7337930107504975e-14,1.3239894874595857e-14,-8.27941523413041e-15,3.55060530519116e-12,3074252902.2128067
2022-07-26 17:00:00,3.3400055407085935e-12,4.879366956247095e-13,4.133319653008767e-14,1.3260389033660415e-14,-8.28588079597458e-15,3.5541192294047616e-12,3304262269.37339
2022-07-26 18:00:00,3.345606740375074e-12,4.903695153061199e-13,4.4572190873257085e-14,1.329290777499682e-14,-8.297574595490797e-15,3.5611460969244175e-12,3486268655.7273636
2022-07-26 19:00:00,3.352699412773337e-12,4.921519584411596e-13,4.7235828665865174e-14,1.3329818913468339e-14,-8.310488550785011e-15,3.5705742679351762e-12,3609484393.9064407
2022-07-26 20:00:00,3.3590161298544986e-12,4.950859830385935e-13,4.867327223152281e-14,1.3365131799759653e-14,-8.325783875932125e-15,3.578460143195231e-12,3704461277.577511
